ḥmsꞽ,0x13002 0x13648 0x1399F
ꞽmn,0x13005 0x13529 0x13527 0x13528 0x1359E 0x1359F 0x1352A 0x13069 0x13763 0x13765 0x13766 0x1376D 0x13767 0x13201
wꜥb,0x13006 0x13517 0x13518 0x1351A 0x1351E 0x1351C 0x13510 0x13511 0x13513 0x13514 0x13519 0x13512 0x1351D 0x130C2 0x13A1D 0x13A1E 0x13A1F 0x14386
sṯ,0x13007 0x13516 0x132EB 0x14282
fꜣꞽ,0x1300B 0x134FD 0x134E2 0x134E3 0x13049 0x134E1 0x134EA 0x134EB 0x134FE 0x13957
sḳdꞽ,0x1300C 0x139B1 0x13A18
ḫnms,0x1300D
mšꜥ,0x1300E 0x135AA 0x1359C 0x135A7 0x135A9 0x135A8 0x135A5 0x1358E 0x135AD 0x135AC
rḳ,0x13010
mt,0x13011 0x1350F
ḫr,0x13012 0x13A13 0x13B39 0x13E10
ꞽꜣw,0x134A5 0x13017
smsw,0x13018 0x1356B 0x1356C 0x13573
ꞽt.y,0x1301B 0x13668 0x134CB 0x13666 0x13691 0x136A1 0x136A5 0x136A6 0x136A7 0x136A9 0x136AA 0x13669
ꞽ,0x13462 0x1301E 0x1302F 0x13031 0x1365C 0x13659 0x1346C 0x1349B 0x1365D 0x1369A 0x1346B 0x136D6 0x136E5 0x137BA 0x13809 0x13853 0x13758 0x138C5 0x13ABA 0x131CB 0x13E84 0x13E85
ꞽn,0x1301F 0x13493 0x13AFA 0x13AFB 0x1319B 0x13DCF
ḳꜣꞽ,0x13020
sḫd,0x13021 0x13A16
ḫbꞽ,0x13024 0x135E5 0x135E7 0x135E8 0x135E6
rw,0x13026 0x130ED 0x13AC4
ḫwsꞽ,0x13027 0x13533 0x13534
ḳd,0x13028 0x13535 0x13536 0x1353C 0x1353D 0x13818 0x1397C 0x1342A 0x1342B 0x1431D
ꜥf.ty,0x13029 0x1353F 0x1302A
ḳꞽs,0x1302B 0x1302C 0x134AD 0x13604 0x13609
n(y)-sw.t,0x13657 0x13656 0x13030 0x1368F 0x135F4
n.y-sw.t,0x13660 0x13033 0x13673 0x13678 0x1367A 0x1367C 0x1367B 0x13676 0x1366F 0x13674 0x13677 0x13671 0x13034 0x13036 0x13682 0x13684 0x13685 0x13692 0x1372F
bꞽ.ty,0x13035 0x1368C 0x1368D 0x1368B 0x1368E 0x1368A 0x13690 0x135EF 0x13693 0x13694 0x138EC 0x13B4D 0x131A4
bꞽ.tyw,0x13037
sꜣw,0x13038 0x13555 0x1355A 0x1355B 0x13556 0x13557 0x13559 0x13553 0x1354E 0x13558 0x1395E 0x14014
ꞽr.y,0x13039 0x13552 0x1355C 0x136E3
špsꞽ,0x1303B 0x1364E 0x13646 0x1364A
