"","l","n","Cab","Car","Cbrown","Cw","Cm"
"1",400,1.4955,0.02676,0.2895,0.5272,5.8e-05,109.7
"2",401,1.4958,0.03113,0.2796,0.5262,5.852e-05,103.7
"3",402,1.496,0.03561,0.2693,0.5252,5.9e-05,97.98
"4",403,1.4964,0.03972,0.2601,0.5242,5.989e-05,92.44
"5",404,1.4971,0.04321,0.2525,0.5232,6.1e-05,87.13
"6",405,1.4978,0.04606,0.2456,0.5222,6.203e-05,82.31
"7",406,1.4986,0.04815,0.2402,0.5212,6.3e-05,78.06
"8",407,1.4995,0.05007,0.2352,0.5202,6.399e-05,74.04
"9",408,1.5006,0.05189,0.2303,0.5192,6.5e-05,70.13
"10",409,1.5016,0.05346,0.2255,0.5182,6.603e-05,66.54
"11",410,1.5024,0.05526,0.2203,0.5172,6.7e-05,63
"12",411,1.5031,0.05721,0.2151,0.5162,6.79e-05,59.54
"13",412,1.5041,0.05891,0.2105,0.5152,6.9e-05,56.16
"14",413,1.5052,0.06004,0.2069,0.5142,7.05e-05,53.01
"15",414,1.5065,0.061,0.2035,0.5132,7.2e-05,50.01
"16",415,1.5076,0.06189,0.2002,0.5122,7.312e-05,47.23
"17",416,1.5088,0.06259,0.1971,0.5112,7.4e-05,44.63
"18",417,1.5099,0.06318,0.1943,0.5102,7.49e-05,42.2
"19",418,1.511,0.06367,0.1914,0.5092,7.6e-05,39.96
"20",419,1.5122,0.06416,0.1889,0.5082,7.74e-05,37.8
"21",420,1.5134,0.06475,0.1866,0.5072,7.9e-05,35.67
"22",421,1.5144,0.06555,0.1844,0.5062,8.063e-05,33.62
"23",422,1.5156,0.06628,0.1823,0.5052,8.2e-05,31.7
"24",423,1.5168,0.0669,0.1805,0.5042,8.297e-05,29.93
"25",424,1.5181,0.06718,0.1792,0.5032,8.4e-05,28.32
"26",425,1.5195,0.06747,0.1777,0.5022,8.551e-05,26.79
"27",426,1.5206,0.06795,0.1762,0.5012,8.7e-05,25.35
"28",427,1.5212,0.06855,0.1747,0.5002,8.8e-05,24.02
"29",428,1.5219,0.06897,0.1735,0.4992,8.9e-05,22.76
"30",429,1.5228,0.06931,0.1724,0.4982,9.05e-05,21.5
"31",430,1.5235,0.06979,0.1715,0.4972,9.2e-05,20.24
"32",431,1.5241,0.07037,0.1707,0.496,9.3e-05,19.01
"33",432,1.5249,0.07082,0.1701,0.4948,9.4e-05,17.85
"34",433,1.5256,0.07114,0.1694,0.4936,9.55e-05,16.76
"35",434,1.5262,0.07141,0.1688,0.4924,9.7e-05,15.75
"36",435,1.5267,0.0716,0.1682,0.4912,9.801e-05,14.81
"37",436,1.5272,0.07174,0.1678,0.49,9.9e-05,13.92
"38",437,1.5276,0.07177,0.1674,0.4888,0.0001005,13.12
"39",438,1.5279,0.07171,0.167,0.4876,0.000102,12.33
"40",439,1.5282,0.07156,0.1667,0.4864,0.0001031,11.61
"41",440,1.5286,0.0712,0.1664,0.4852,0.000104,10.96
"42",441,1.529,0.07048,0.1659,0.484,0.000105,10.41
"43",442,1.5292,0.06963,0.1653,0.4829,0.000106,9.924
"44",443,1.5294,0.06883,0.1647,0.4817,0.000107,9.41
"45",444,1.5294,0.06789,0.1641,0.4805,0.000108,8.947
"46",445,1.5295,0.06685,0.1632,0.4793,0.000109,8.508
"47",446,1.5293,0.06583,0.1624,0.4781,0.00011,8.087
"48",447,1.5291,0.0648,0.1615,0.4769,0.000111,7.64
"49",448,1.5289,0.06358,0.1605,0.4757,0.000112,7.269
"50",449,1.5286,0.06225,0.1592,0.4745,0.000113,6.939
"51",450,1.5282,0.0609,0.1577,0.4733,0.000114,6.66
"52",451,1.5278,0.05956,0.1561,0.472,0.000115,6.422
"53",452,1.5273,0.05813,0.1544,0.4708,0.000116,6.222
"54",453,1.5268,0.05677,0.1528,0.4695,0.000117,6.01
"55",454,1.5262,0.05553,0.1513,0.4683,0.000118,5.782
"56",455,1.5256,0.05439,0.1497,0.467,0.000119,5.573
"57",456,1.5249,0.0533,0.1483,0.4658,0.00012,5.37
"58",457,1.5243,0.05224,0.1468,0.4645,0.000121,5.173
"59",458,1.5237,0.05135,0.1454,0.4633,0.000122,4.946
"60",459,1.523,0.05056,0.144,0.462,0.000123,4.761
"61",460,1.5224,0.0499,0.1425,0.4608,0.000124,4.575
"62",461,1.5217,0.04934,0.1411,0.4597,0.000125,4.419
"63",462,1.521,0.04891,0.1397,0.4587,0.000126,4.259
"64",463,1.5203,0.04852,0.1384,0.4577,0.000127,4.117
"65",464,1.5196,0.04812,0.1371,0.4566,0.000128,4.006
"66",465,1.5189,0.04767,0.1358,0.4556,0.0001289,3.945
"67",466,1.5184,0.04729,0.1347,0.4546,0.00013,3.853
"68",467,1.5178,0.04698,0.1335,0.4535,0.0001315,3.784
"69",468,1.5173,0.04673,0.1325,0.4525,0.000133,3.671
"70",469,1.517,0.04647,0.1316,0.4515,0.000134,3.554
"71",470,1.5166,0.04622,0.1308,0.4504,0.000135,3.462
"72",471,1.5163,0.04606,0.1302,0.4494,0.0001364,3.364
"73",472,1.5159,0.04589,0.1296,0.4484,0.000138,3.282
"74",473,1.5156,0.0457,0.1292,0.4473,0.0001396,3.184
"75",474,1.5153,0.04552,0.1288,0.4463,0.000141,3.102
"76",475,1.515,0.04535,0.1285,0.4453,0.0001424,3.051
"77",476,1.5148,0.04519,0.1282,0.4442,0.000144,2.983
"78",477,1.5145,0.04492,0.128,0.4432,0.0001459,2.947
"79",478,1.5142,0.04466,0.1277,0.4422,0.000148,2.913
"80",479,1.5139,0.04442,0.1274,0.4411,0.0001499,2.869
"81",480,1.5135,0.04413,0.127,0.4401,0.000152,2.803
"82",481,1.5131,0.04373,0.1265,0.4388,0.0001544,2.777
"83",482,1.5125,0.04325,0.126,0.4375,0.000157,2.751
"84",483,1.5119,0.04275,0.1253,0.4362,0.0001596,2.726
"85",484,1.5111,0.04216,0.1244,0.435,0.000162,2.702
"86",485,1.5103,0.04149,0.1234,0.4337,0.0001643,2.679
"87",486,1.5092,0.04073,0.1223,0.4324,0.000167,2.656
"88",487,1.508,0.03989,0.1211,0.4311,0.0001704,2.634
"89",488,1.5067,0.03895,0.1197,0.4298,0.000174,2.613
"90",489,1.5051,0.03791,0.1182,0.4285,0.0001775,2.593
"91",490,1.5034,0.03683,0.1166,0.4272,0.000181,2.573
"92",491,1.5015,0.03571,0.115,0.426,0.0001849,2.554
"93",492,1.4994,0.03455,0.1132,0.4247,0.000189,2.536
"94",493,1.4971,0.03335,0.1114,0.4234,0.0001934,2.519
"95",494,1.4947,0.03215,0.1096,0.4221,0.000198,2.502
"96",495,1.4921,0.03094,0.1076,0.4208,0.0002031,2.486
"97",496,1.4894,0.02972,0.1056,0.4195,0.000209,2.471
"98",497,1.4866,0.0285,0.1035,0.4183,0.0002158,2.457
"99",498,1.4837,0.0273,0.1013,0.417,0.000223,2.443
"100",499,1.4807,0.02615,0.09901,0.4157,0.0002303,2.43
"101",500,1.4776,0.02502,0.0966,0.4144,0.000238,2.417
"102",501,1.4744,0.02392,0.0942,0.4135,0.0002463,2.405
"103",502,1.4712,0.02284,0.09179,0.4127,0.000255,2.394
"104",503,1.468,0.02179,0.08939,0.4118,0.000264,2.384
"105",504,1.4647,0.02077,0.08699,0.4109,0.000273,2.374
"106",505,1.4615,0.01979,0.0846,0.41,0.0002819,2.365
"107",506,1.4583,0.01883,0.08221,0.4092,0.000291,2.356
"108",507,1.4553,0.0179,0.07983,0.4083,0.0003004,2.348
"109",508,1.4523,0.01702,0.07746,0.4074,0.00031,2.341
"110",509,1.4495,0.01617,0.0751,0.4065,0.0003194,2.334
"111",510,1.4468,0.01536,0.07275,0.4057,0.000329,2.328
